date,closing
2000-11-13,79.9693
2000-11-14,81.852
2000-11-15,82.2682
2000-11-16,81.2373
2000-11-17,80.9683
2000-11-20,79.4826
2000-11-21,79.7644
2000-11-22,78.2915
2000-11-24,79.4442
2000-11-27,79.8732
2000-11-28,79.1112
2000-11-29,79.4762
2000-11-30,77.8817
2000-12-01,77.9009
2000-12-04,78.4773
2000-12-05,81.5382
2000-12-06,80.0653
2000-12-07,79.6043
2000-12-08,81.1668
2000-12-11,81.7879
2000-12-12,81.2628
2000-12-13,80.6161
2000-12-14,79.4826
2000-12-15,77.7792
2000-12-18,78.4068
2000-12-19,77.395
2000-12-20,74.9744
2000-12-21,75.5764
2000-12-22,77.1773
2000-12-26,77.7216
2000-12-27,78.5477
2000-12-28,78.8615
2000-12-29,78.0354
2001-01-02,75.8453
2001-01-03,79.6683
2001-01-04,78.8294
2001-01-05,76.7546
2001-01-08,76.6265
2001-01-09,76.9211
2001-01-10,77.664
2001-01-11,78.4644
2001-01-12,77.9649
2001-01-16,78.458
2001-01-17,78.6309
2001-01-18,79.726
2001-01-19,79.4058
2001-01-22,79.4249
2001-01-23,80.4559
2001-01-24,80.6929
2001-01-25,80.2895
2001-01-26,80.1422
2001-01-29,80.6865
2001-01-30,81.2565
2001-01-31,80.8082
2001-02-01,81.2565
2001-02-02,79.8348
2001-02-05,80.123
2001-02-06,80.0077
2001-02-07,79.3482
2001-02-08,78.855
2001-02-09,77.7984
2001-02-12,78.7142
2001-02-13,78.0418
2001-02-14,77.8881
2001-02-15,78.5285
2001-02-16,77.0428
2001-02-20,75.7044
2001-02-21,74.3084
2001-02-22,74.1675
2001-02-23,73.7577
2001-02-26,75.0512
2001-02-27,74.4813
2001-02-28,73.4247
2001-03-01,73.5015
2001-03-02,73.0853
2001-03-05,73.5208
2001-03-06,74.2572
2001-03-07,74.7439
2001-03-08,74.9232
2001-03-09,73.0661
2001-03-12,69.9155
2001-03-13,70.9657
2001-03-14,69.1343
2001-03-15,69.5377
2001-03-16,67.9816
2001-03-19,69.1791
2001-03-20,67.5141
2001-03-21,66.3038
2001-03-22,66.0348
2001-03-23,67.354
2001-03-26,68.1096
2001-03-27,69.8515
2001-03-28,68.1545
2001-03-29,67.8407
2001-03-30,68.5707
2001-04-02,67.7126
2001-04-03,65.388
2001-04-04,65.2088
2001-04-05,68.0584
2001-04-06,66.7136
2001-04-09,67.2579
2001-04-10,69.083
2001-04-11,68.9357
2001-04-12,69.9731
2001-04-16,69.749
2001-04-17,70.4662
2001-04-18,73.2134
2001-04-19,74.1291
2001-04-20,73.4951
2001-04-23,72.3937
2001-04-24,71.5164
2001-04-25,72.6563
2001-04-26,73.0084
2001-04-27,74.1035
2001-04-30,73.8986
2001-05-01,74.8976
2001-05-02,74.9616
2001-05-03,73.8602
2001-05-04,74.9296
2001-05-07,74.7439
2001-05-08,74.6094
2001-05-09,74.2828
2001-05-10,74.2764
2001-05-11,73.7193
2001-05-14,73.9178
2001-05-15,73.9498
2001-05-16,76.063
2001-05-17,76.2744
2001-05-18,76.4921
2001-05-21,77.7216
2001-05-22,77.5231
2001-05-23,76.3192
2001-05-24,76.5625
2001-05-25,75.6596
2001-05-29,75.0769
2001-05-30,73.9178
2001-05-31,74.3853
2001-06-01,74.6734
2001-06-04,75.0512
2001-06-05,76.0246
2001-06-06,75.237
2001-06-07,75.6468
2001-06-08,74.936
2001-06-11,74.3084
2001-06-12,74.3981
2001-06-13,73.572
2001-06-14,72.2785
2001-06-15,71.9583
2001-06-18,71.6061
2001-06-19,71.8558
2001-06-20,72.4769
2001-06-21,73.3031
2001-06-22,72.6142
2001-06-25,72.2097
2001-06-26,72.1005
2001-06-27,71.7731
2001-06-28,72.672
2001-06-29,72.5628
